,names,address,neighborhood,yr_start,yr_end, capacity , capacity_med ,acg,"lfh (live,film,hybrid)",precision,lat,long
103,São João,"R. São João, 371",Santa Cecília,1910,1910,,,C,F,street,"-23,537156","-46,648641"
104,"São Paulo, Theatro, Pavilhão","Largo de São Paulo, 18",Liberdade,1910,1912,,,C,H,street,"-23,557166","-46,633126"
105,"America, Cinema; Biographo Variedades; Cinema Biograph; American","R. da Consolação, 324-326",Consolação,1911,1947, 450-802 , 626 ,C,H,street,"-23,552755","-46,659666"
106,Amerikan Cinema; American Cinema; Cinema Celso Garcia,"Av. Celso Garcia, 40-44, 44-46",Belenzinho,1911,1917, 350-520 , 435 ,C,F,street,"-23,539846","-46,609809"
107,Belém; Melitta; Santa Terezinha,"Av. Celso Garcia, 228, 225, 328, 340, 360",Belenzinho,1911,1960," 1,245-1,700 ", 1.473 ,C,H,street,"-23,537559","-46,597363"
108,Bijou Aurora; Santa Ephigenhia Theatre; Progredior; The Berlim Cinema; Aurora Theatre; Cinema Aurora,"R. Aurora, 59",Santa Ifigênia,1911,1914,,,C,H,exact,"-23,538911","-46,63809"
109,Bijou Oriente; Flor do Oriente; Cinema Estrella; Cinema Oriente,"R. Oriente, 41",Brás,1911,1919, 350-600 , 475 ,C,F,street,"-23,537574","-46,619628"
110,Cinema das Familias; Cinema Grátis,"Av. Rangel Pestana, 126",Brás,1911,1912, 300-520 , 410 ,C,F,exact,"-23,545786","-46,620937"
111,Eldorado Cinema; Casino Paulista; Eden-Theatre; Bijou Theatre,"R. Quintino Bocaiuva, 39",Centro,1911,1917, 272 , 272 ,C,H,exact,"-23,551022","-46,635001"
112,"Familiar, Cinema","R. General Jardim, 57",Vila Buarque,1911,1914,,,C,F,exact,"-23,544729","-46,647385"
113,Isis Theatre; Gloria,"R. do Gazometro, 47",Brás,1911,1970," 750-1,360 ", 1.055 ,C,H,exact,"-23,543815","-46,623957"
114,Liberdade Theatre,"R. da Liberdade, 34, 38",Liberdade,1911,1913, 520 , 520 ,C,F,street,"-23,555352","-46,635733"
115,"Oriente, Pavilhão, Cinema","R. Henrique Dias, 44",Brás,1911,1913, 1.800 , 1.800 ,C,H,exact,"-23,536732","-46,620148"
116,Palace Theatre; Palacio Theatro; Theatro Rink; Rink Theatre; Rink Avenida,"Av. Brigadeiro Luiz Antonio, 69-A",Liberdade,1911,1924," 1,725-2,155 ", 1.940 ,C,H,exact,"-23,554023","-46,637642"
117,"Recreio Cinema, Pavilhão","R. Major Diogo, 39",Bexiga,1911,1916, 870-930 , 900 ,C,F,street,"-23,555545","-46,642534"
118,Recreio da Barra Funda,R. Barra Funda,Barra Funda,1911,1912,,,C,H,street,"-23,531924","-46,654089"
119,Salão Cinema; Central; Café Guarany,"Av. Rangel Pestana, 122",Brás,1911,1914, 600 , 600 ,C,H,exact,"-23,545915","-46,621065"
120,Star Cinema,"""near bondes stop""",Lapa,1911,1911,,,C,F,street,"-23,519736","-46,701498"
121,Te-Be; Guayanazes,"R. Duque de Caxias, 83-87",Campos Elíseos,1911,1913,,,C,H,exact,"-23,536884","-46,642631"
122,"Ambrósio, Cinema","R. das Flores, 68-70",Centro,1912,1913,,,C,F,street,"-23,551706","-46,631609"
123,"Carlos Gomes, Cinema","R. São João, 389, 382",Santa Cecília,1912,1912,,,C,F,street,"-23,536685","-46,649025"
124,Casino Antarctica,"R. Anhangabaú, 59-63, 67",Santa Ifigênia,1912,1939," 1,386-1,700 ", 1.543 ,C,H,exact,"-23,541477","-46,634803"
125,Eden Cinema; Isola,"R. São Caetano, 11, 15",Luz,1912,1921,,,C,F,street,"-23,534441","-46,631715"
126,Élite,R. Barão de Iguape ,Liberdade,1912,1913,,,C,F,street,"-23,558717","-46,635615"
127,Eros; Heros; Cine Theatro São Carlos,"R. Piratininga, 95",Brás,1912,1960, 850 , 850 ,C,H,street,"-23,548326","-46,618276"
128,"Familiar, Cinema; Cinema/Theatro Variedades Familiar","R. Três Rios, 96",Bom Retiro,1912,1914,,,C,H,street,"-23,529412","-46,638347"
129,Flor; Nordisk Cinema; Cinema Theatro,"R. da Conceição, 5",Santa Ifigênia,1912,1920,,,C,H,street,"-23,538572","-46,636172"
130,Internacional,"R. dos Italianos, 70, 72",Bom Retiro,1912,1913,,,C,F,exact,"-23,525082","-46,644069"
131,Lapa Cinema-Theatro,"R. Trindade, 17, 19, 25, 12",Lapa,1912,1917, 1.200 , 1.200 ,C,H,street,"-23,520035","-46,701293"
132,Minerva; Guarany,"R. da Consolação, 217",Consolação,1912,1919, 500 , 500 ,C,F,street,"-23,550815","-46,654969"
133,Odeon; Éclair Palacio,"R. Duque de Caixas, 46",Campos Elíseos,1912,1914, 478 , 478 ,C,H,street,"-23,537829","-46,644939"
134,Paraizo,"R. Vergueiro, 362",Paraíso,1912,1913, 285 , 285 ,C,F,street,"-23,572862","-46,639821"
135,"R. Trindade, 27","R. Trindade, 27",Lapa,1912,1912,,,C,H,street,"-23,519114","-46,702204"
136,"Recreio, Pavilhão","R. Engenheiro Fox, 14, 16",Lapa,1912,1929, 300 , 300 ,C,H,street,"-23,516781","-46,704131"
137,"Santana, Cinema","R. Voluntarios da Patria, 306, 316",Santana,1912,1929, 300-369 , 335 ,C,H,street,"-23,501669","-46,626123"
138,São João; Bijou Mooca; Internacional,"R. Moóca, 492, 436, 430, 380",Moóca,1912,1916, 142-500 , 323 ,C,F,exact,"-23,554702","-46,601444"
139,Savoia; Campos Sales; Saquia,"R. Conselheiro Ramalho, 205",Bexiga,1912,1916,,,C,F,street,"-23,560815","-46,644085"
140,Skating Palace; Gaumont Palacio; Republica,"Praça da República, 50",Vila Buarque,1912,1978," 1,830-2,000 ", 1.915 ,C,H,exact,"-23,542594","-46,643496"
141,Tripoli Cinema,"Praça José Roberto Penteado, 37-37A",Bom Retiro,1912,1913,,,C,F,street,"-23,526671","-46,630373"
142,Villa Marianna; Cinema Apollo; Odeon,"R. Domingos de Moraes, 153, 155, 121",Vila Mariana,1912,1929,,,C,H,street,"-23,584103","-46,636958"
143,"Avenida, Theatro","Av. Rangel Pestana, 111 ",Brás,1913,1914,,,C,H,street,"-23,545931","-46,62268"
144,"Barra Funda, Cinema","R. Barra Funda, 14-16",Barra Funda,1913,1917,,,C,H,street,"-23,532042","-46,65315"
145,Bijou Santa Marina; Theatro Santa Marina,"R. Guaycurú, 71",Água Branca,1913,1917, 1.085 , 1.085 ,C,H,street,"-23,523198","-46,691462"
146,"Bresser, Cinema","R. Bresser, 55, 53",Belenzinho,1913,1917, 440-573 , 507 ,C,F,street,"-23,533689","-46,611861"
147,Crystal,"R. Lopes Chaves, 37, 64",Barra Funda,1913,1914, 1.220 , 1.220 ,C,H,street,"-23,528934","-46,657721"
148,"Drolhe, Theatro; Independencia; Cinema Ipiranga","R. dos Ituanos, 33",Ipiranga,1913,1921, 390 , 390 ,C,F,exact,"-23,58067","-46,605849"
149,Excelsior Theatre,"R. São Caetano, 226",Pari,1913,1914, 1.020 , 1.020 ,C,F,street,"-23,536167","-46,623439"
150,"Guarany, Theatro","Largo do Cambucy, 21",Cambuci,1913,1929, 625-850 , 738 ,C,F,exact,"-23,562685","-46,620623"
151,Independencia,Largo do Cambucy,Cambuci,1913,1916, 600-700 , 650 ,C,F,exact,"-23,563089","-46,620564"
152,Marconi,"R. João Correa de Mello, 6",Bom Retiro,1913,1939," 1,215-1,500 ", 1.358 ,C,H,exact,"-23,530864","-46,63712"
153,Maria José,"R. Major José Bento, 136 ",Cambuci,1913,1914, 510-642 , 576 ,C,F,street,"-23,562178","-46,615944"
154,Paris Cinema; Bernardino de Campos,"R. Appa, 12",Santa Cecília,1913,1916, 600 , 600 ,C,F,street,"-23,53488","-46,652148"
155,Pathé Palacio; Liberdade,"R. Rodrigo Silva, 4-10",Centro,1913,1954, 1.040 , 1.040 ,C,H,exact,"-23,551742","-46,63542"
156,Roma,"R. Barra Funda, 62 = R. Lopes de Oliveira, 21",Barra Funda,1913,1929, 911 , 911 ,C,F,street,"-23,530879","-46,654077"
157,Royal Theatre,"R. Sebastião Pereira, 62-66",Santa Cecília,1913,1952, 600-800 , 700 ,C,H,street,"-23,539691","-46,648254"
158,Scala; Brasil Cinema; Universal Cinema; Cinema Municipal,"R. Barão de Itapetininga, 10-14",Centro,1913,1917," 1,088-1,400 ", 1.244 ,C,H,exact,"-23,545102","-46,639789"
159,Tiradentes,"Av. Tiradentes, 110-112",Luz,1913,1915, 200 , 200 ,C,H,street,"-23,533737","-46,63268"
160,America Cinema,R. Lopes de Oliveira,Barra Funda,1914,1916, 563 , 563 ,C,H,street,"-23,531154","-46,65552"
161,Colyseo Villa Mariana,"R. Domingos de Moraes, 221",Vila Mariana,1914,1915,,,C,F,street,"-23,587339","-46,634539"
162,Esperia,"R. Conselheiro Ramalho, 132",Bexiga,1914,1952," 1,052-1,420 ", 1.236 ,C,H,exact,"-23,557256","-46,644663"
163,Folies Bergères,"Ladeira de Santa Ifigênia, 7",Santa Ifigênia,1914,1914,,,C,H,exact,"-23,542492","-46,636363"
164,"Paz, Theatro da; Cine-Colombinho; Cine Rialto","R. João Theodoro, 47, 49",Pari,1914,1934, 1.005 , 1.005 ,C,H,street,"-23,53448","-46,62283"
165,"São José, Cinema","R. Nova São José, 22",Brás,1914,1917, 605 , 605 ,C,F,street,"-23,544255","-46,609116"
166,"São Paulo, Theatro",Largo de São Paulo = Pç. Almeida Júnior,Liberdade,1914,1967,"1,328-2,500",1.914,C,H,exact,"-23,556372","-46,633474"
167,"Boa Vista, Theatro","R. Boa Vista, 52",Centro,1916,1947," 891-1,100 ", 996 ,C,H,exact,"-23,54462","-46,633638"
168,Central,"R. São João, 21, 53",Centro,1916,1922," 1,148-1,400  ", 1.274 ,C,F,exact,"-23,544994","-46,635767"
169,"Moderno, Theatro/Palacio","R. Moóca, 419, 407",Moóca,1916,1966, 527 , 527 ,C,H,street,"-23,555065","-46,604525"
