,names,address,neighborhood,yr_start,yr_end, capacity , capacity_med ,acg,"lfh (live,film,hybrid)",precision,lat,long,number
127,Eros; Heros; Cine Theatro São Carlos,rua piratininga,Brás,1912,1960, 850 , 850 ,C,H,street,"-23,548326","-46,618276",95
128,"Familiar, Cinema; Cinema/Theatro Variedades Familiar",rua três rios,Bom Retiro,1912,1914,,,C,H,street,"-23,529412","-46,638347",96
129,Flor; Nordisk Cinema; Cinema Theatro,rua da conceição,Santa Ifigênia,1912,1920,,,C,H,street,"-23,538572","-46,636172",5
130,Internacional,rua dos italianos,Bom Retiro,1912,1913,,,C,F,exact,"-23,525082","-46,644069","70, 72"
131,Lapa Cinema-Theatro,rua trindade,Lapa,1912,1917, 1.200 , 1.200 ,C,H,street,"-23,520035","-46,701293","17, 19, 25, 12"
132,Minerva; Guarany,rua da consolação,Consolação,1912,1919, 500 , 500 ,C,F,street,"-23,550815","-46,654969",217
133,Odeon; Éclair Palacio,rua duque de caixas,Campos Elíseos,1912,1914, 478 , 478 ,C,H,street,"-23,537829","-46,644939",46
134,Paraizo,rua vergueiro,Paraíso,1912,1913, 285 , 285 ,C,F,street,"-23,572862","-46,639821",362
135,"R. Trindade, 27",rua trindade,Lapa,1912,1912,,,C,H,street,"-23,519114","-46,702204",27
136,"Recreio, Pavilhão",rua engenheiro fox,Lapa,1912,1929, 300 , 300 ,C,H,street,"-23,516781","-46,704131","14, 16"
137,"Santana, Cinema",rua voluntarios da patria,Santana,1912,1929, 300-369 , 335 ,C,H,street,"-23,501669","-46,626123","306, 316"
138,São João; Bijou Mooca; Internacional,rua moóca,Moóca,1912,1916, 142-500 , 323 ,C,F,exact,"-23,554702","-46,601444","492, 436, 430, 380"
139,Savoia; Campos Sales; Saquia,rua conselheiro ramalho,Bexiga,1912,1916,,,C,F,street,"-23,560815","-46,644085",205
140,Skating Palace; Gaumont Palacio; Republica,praça da república,Vila Buarque,1912,1978," 1,830-2,000 ", 1.915 ,C,H,exact,"-23,542594","-46,643496",50
141,Tripoli Cinema,praça josé roberto penteado,Bom Retiro,1912,1913,,,C,F,street,"-23,526671","-46,630373",37-37a
142,Villa Marianna; Cinema Apollo; Odeon,rua domingos de moraes,Vila Mariana,1912,1929,,,C,H,street,"-23,584103","-46,636958","153, 155, 121"
143,"Avenida, Theatro",avenida rangel pestana,Brás,1913,1914,,,C,H,street,"-23,545931","-46,62268",111
144,"Barra Funda, Cinema",rua barra funda,Barra Funda,1913,1917,,,C,H,street,"-23,532042","-46,65315",14-16
145,Bijou Santa Marina; Theatro Santa Marina,rua guaycurú,Água Branca,1913,1917, 1.085 , 1.085 ,C,H,street,"-23,523198","-46,691462",71
146,"Bresser, Cinema",rua bresser,Belenzinho,1913,1917, 440-573 , 507 ,C,F,street,"-23,533689","-46,611861","55, 53"
147,Crystal,rua lopes chaves,Barra Funda,1913,1914, 1.220 , 1.220 ,C,H,street,"-23,528934","-46,657721","37, 64"
148,"Drolhe, Theatro; Independencia; Cinema Ipiranga",rua dos ituanos,Ipiranga,1913,1921, 390 , 390 ,C,F,exact,"-23,58067","-46,605849",33
149,Excelsior Theatre,rua são caetano,Pari,1913,1914, 1.020 , 1.020 ,C,F,street,"-23,536167","-46,623439",226
150,"Guarany, Theatro",largo do cambucy,Cambuci,1913,1929, 625-850 , 738 ,C,F,exact,"-23,562685","-46,620623",21
151,Independencia,largo do cambucy,Cambuci,1913,1916, 600-700 , 650 ,C,F,exact,"-23,563089","-46,620564",
152,Marconi,rua joão correa de mello,Bom Retiro,1913,1939," 1,215-1,500 ", 1.358 ,C,H,exact,"-23,530864","-46,63712",6
153,Maria José,rua major josé bento,Cambuci,1913,1914, 510-642 , 576 ,C,F,street,"-23,562178","-46,615944",136
154,Paris Cinema; Bernardino de Campos,rua appa,Santa Cecília,1913,1916, 600 , 600 ,C,F,street,"-23,53488","-46,652148",12
155,Pathé Palacio; Liberdade,rua rodrigo silva,Centro,1913,1954, 1.040 , 1.040 ,C,H,exact,"-23,551742","-46,63542",4-10
156,Roma,rua barra funda,Barra Funda,1913,1929, 911 , 911 ,C,F,street,"-23,530879","-46,654077","62 = r. lopes de oliveira, 21"
157,Royal Theatre,rua sebastião pereira,Santa Cecília,1913,1952, 600-800 , 700 ,C,H,street,"-23,539691","-46,648254",62-66
158,Scala; Brasil Cinema; Universal Cinema; Cinema Municipal,rua barão de itapetininga,Centro,1913,1917," 1,088-1,400 ", 1.244 ,C,H,exact,"-23,545102","-46,639789",10-14
159,Tiradentes,avenida tiradentes,Luz,1913,1915, 200 , 200 ,C,H,street,"-23,533737","-46,63268",110-112
160,America Cinema,rua lopes de oliveira,Barra Funda,1914,1916, 563 , 563 ,C,H,street,"-23,531154","-46,65552",
161,Colyseo Villa Mariana,rua domingos de moraes,Vila Mariana,1914,1915,,,C,F,street,"-23,587339","-46,634539",221
162,Esperia,rua conselheiro ramalho,Bexiga,1914,1952," 1,052-1,420 ", 1.236 ,C,H,exact,"-23,557256","-46,644663",132
163,Folies Bergères,ladeira de santa ifigênia,Santa Ifigênia,1914,1914,,,C,H,exact,"-23,542492","-46,636363",7
164,"Paz, Theatro da; Cine-Colombinho; Cine Rialto",rua joão theodoro,Pari,1914,1934, 1.005 , 1.005 ,C,H,street,"-23,53448","-46,62283","47, 49"
165,"São José, Cinema",rua nova são josé,Brás,1914,1917, 605 , 605 ,C,F,street,"-23,544255","-46,609116",22
